Date,Open,High,Low,Close,Volume
2002-01-17,104.0,104.0,104.0,104.0,25
2002-01-17,115.0,117.5,113.5,115.25,67294
2002-01-17,134.9,134.9,123.05,127.2,1720382
2002-01-20,124.55,125.3,115.6,116.6,2102217
2002-01-20,113.05,113.65,108.0,108.45,126074
2002-01-20,28.9,29.0,23.25,24.5,76540
2002-01-21,111.9,114.95,110.0,111.85,63497
2002-01-21,116.35,124.2,116.35,120.7,2338782
2002-01-21,104.25,104.25,102.8,102.9,134
2002-01-21,26.0,26.0,23.75,24.0,41828
2002-01-22,25.0,25.45,23.55,23.6,43470
2002-01-22,113.85,115.9,113.85,114.8,68885
2002-01-22,104.0,104.0,103.05,103.05,101
2002-01-22,122.0,126.65,121.15,124.1,2647178
2002-01-23,123.0,124.0,118.25,121.4,1537717
2002-01-23,101.3,101.3,101.3,101.3,2
2002-01-23,110.55,113.0,110.0,112.6,39650
2002-01-23,23.5,24.2,23.05,23.95,18019
2002-01-24,110.2,114.0,110.2,113.45,21564
2002-01-24,23.3,25.4,23.3,24.85,67684
2002-01-24,122.9,122.9,119.05,121.7,610807
2002-01-24,103.7,103.7,101.25,101.6,200
2002-01-27,25.0,25.0,24.4,24.9,33743
2002-01-27,120.0,120.0,115.5,116.85,820952
2002-01-27,111.5,112.05,107.0,109.35,84277
2002-01-28,116.85,120.0,116.2,119.3,811002
2002-01-28,102.55,103.5,102.55,103.0,555
2002-01-28,24.3,27.5,24.3,26.15,31587
2002-01-28,110.5,112.5,110.5,111.15,33844
2002-01-29,105.0,107.75,105.0,107.75,125
2002-01-29,27.3,28.0,26.55,27.45,38932
2002-01-29,112.0,113.2,110.85,112.2,184146
2002-01-29,119.25,122.75,117.65,120.5,1612524
2002-01-30,28.1,32.9,28.0,32.05,105847
2002-01-30,114.0,118.0,114.0,117.75,158366
2002-01-30,122.05,125.7,121.6,125.05,1546490
2002-01-30,105.0,107.8,105.0,106.45,3
2002-02-03,122.0,122.0,119.3,120.15,216498
2002-02-03,40.0,40.0,36.0,36.45,27101
2002-02-03,107.0,107.0,107.0,107.0,117
2002-02-03,127.0,129.9,126.25,127.5,1087258
2002-02-04,120.45,120.6,117.3,118.2,100739
2002-02-04,125.25,127.0,123.25,124.25,541256
2002-02-04,108.0,108.7,108.0,108.5,400
2002-02-04,35.0,38.0,35.0,35.2,5875
2002-02-05,37.9,41.4,36.1,40.15,58292
2002-02-05,102.3,102.3,102.3,102.3,1
2002-02-05,125.8,136.7,121.7,135.1,3996861
2002-02-05,120.0,133.0,117.8,129.9,183458
2002-02-06,41.45,44.6,40.0,43.5,60476
2002-02-06,136.0,143.2,133.2,139.1,3730931
2002-02-06,130.0,135.0,125.5,129.25,117320
2002-02-07,139.9,140.5,134.35,135.2,1509205
2002-02-07,49.0,49.0,39.25,43.0,146850
2002-02-07,131.0,132.0,128.0,129.2,49054
2002-02-10,44.0,49.75,43.0,49.0,30586
2002-02-10,130.5,137.3,130.5,134.2,294798
2002-02-10,140.8,148.5,137.5,146.85,3114215
2002-02-11,138.5,140.0,132.0,134.0,335513
2002-02-11,54.0,54.0,43.0,44.1,55056
2002-02-11,149.0,153.5,142.65,145.15,5823469
2002-02-11,108.9,109.0,108.9,109.0,43
2002-02-12,140.0,145.4,140.0,140.9,1774806
2002-02-12,109.8,109.8,109.8,109.8,50
2002-02-12,41.5,45.95,41.5,42.55,6195
2002-02-12,130.5,134.0,130.5,131.1,46277
2002-02-13,143.9,146.5,142.1,142.65,2024734
2002-02-13,133.8,136.8,133.0,134.65,38910
2002-02-13,49.95,49.95,36.5,38.0,46939
2002-02-14,144.5,144.9,138.1,139.0,2465127
2002-02-14,39.05,39.75,37.25,37.75,29922
2002-02-14,137.35,137.35,131.0,131.65,61115
2002-02-14,107.0,107.0,106.15,106.25,138
2002-02-17,130.05,133.25,130.05,133.0,54005
2002-02-17,139.1,141.9,136.85,138.05,723570
2002-02-17,38.5,38.5,36.0,37.8,20294
2002-02-18,133.0,135.0,132.15,132.5,28169
2002-02-18,39.0,42.3,37.0,37.2,34916
2002-02-18,106.0,106.0,106.0,106.0,50
2002-02-18,139.8,142.35,136.05,136.75,1690771
2002-02-19,144.8,144.8,135.0,137.05,867211
2002-02-19,107.0,107.0,107.0,107.0,50
2002-02-19,36.0,37.1,34.0,34.05,44214
2002-02-19,130.15,132.5,130.15,131.95,2929
2002-02-20,138.0,141.95,137.1,137.75,1561003
2002-02-20,134.0,136.45,133.0,133.7,24966
2002-02-20,35.5,38.0,35.5,35.9,14973
2002-02-21,35.1,36.05,34.25,36.0,11170
2002-02-21,136.25,139.9,135.2,136.9,578364
